ID,Bound
1000,0
1001,0
1002,1
1003,0
1004,1
1005,1
1006,0
1007,0
1008,1
1009,0
1010,1
1011,1
1012,0
1013,1
1014,0
1015,1
1016,1
1017,0
1018,0
1019,1
1020,1
1021,1
1022,0
1023,0
1024,0
1025,0
1026,1
1027,1
1028,1
1029,1
1030,1
1031,0
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,0
1039,0
1040,1
1041,1
1042,0
1043,0
1044,0
1045,1
1046,1
1047,1
1048,1
1049,0
1050,0
1051,1
1052,0
1053,0
1054,1
1055,1
1056,1
1057,1
1058,1
1059,0
1060,0
1061,0
1062,0
1063,0
1064,1
1065,1
1066,0
1067,0
1068,0
1069,0
1070,1
1071,0
1072,0
1073,0
1074,0
1075,0
1076,1
1077,0
1078,0
1079,1
1080,1
1081,0
1082,0
1083,0
1084,1
1085,0
1086,1
1087,0
1088,0
1089,0
1090,0
1091,0
1092,0
1093,1
1094,0
1095,0
1096,0
1097,1
1098,1
1099,0
1100,0
1101,1
1102,0
1103,1
1104,0
1105,0
1106,1
1107,0
1108,1
1109,1
1110,1
1111,0
1112,1
1113,1
1114,0
1115,0
1116,1
1117,1
1118,0
1119,0
1120,1
1121,1
1122,0
1123,0
1124,1
1125,0
1126,1
1127,0
1128,1
1129,1
1130,0
1131,1
1132,1
1133,1
1134,0
1135,1
1136,0
1137,0
1138,0
1139,0
1140,1
1141,0
1142,0
1143,0
1144,1
1145,1
1146,0
1147,0
1148,0
1149,0
1150,0
1151,1
1152,0
1153,0
1154,0
1155,1
1156,1
1157,1
1158,0
1159,0
1160,0
1161,1
1162,0
1163,1
1164,1
1165,1
1166,0
1167,1
1168,0
1169,0
1170,1
1171,1
1172,1
1173,1
1174,0
1175,1
1176,1
1177,1
1178,0
1179,0
1180,0
1181,1
1182,0
1183,0
1184,0
1185,0
1186,0
1187,0
1188,1
1189,1
1190,1
1191,0
1192,1
1193,1
1194,1
1195,1
1196,1
1197,1
1198,1
1199,1
1200,1
1201,0
1202,1
1203,0
1204,1
1205,0
1206,1
1207,0
1208,0
1209,0
1210,0
1211,1
1212,0
1213,1
1214,0
1215,0
1216,1
1217,1
1218,0
1219,1
1220,1
1221,1
1222,0
1223,0
1224,0
1225,1
1226,0
1227,0
1228,1
1229,0
1230,1
1231,0
1232,0
1233,1
1234,1
1235,0
1236,0
1237,1
1238,0
1239,0
1240,0
1241,0
1242,0
1243,0
1244,1
1245,0
1246,0
1247,0
1248,1
1249,1
1250,0
1251,1
1252,0
1253,0
1254,1
1255,0
1256,0
1257,0
1258,0
1259,1
1260,0
1261,1
1262,1
1263,0
1264,1
1265,1
1266,0
1267,0
1268,0
1269,1
1270,0
1271,1
1272,0
1273,1
1274,0
1275,0
1276,0
1277,0
1278,1
1279,1
1280,0
1281,0
1282,1
1283,0
1284,1
1285,0
1286,0
1287,1
1288,0
1289,1
1290,1
1291,0
1292,1
1293,1
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,1
1301,1
1302,1
1303,0
1304,0
1305,1
1306,1
1307,0
1308,1
1309,0
1310,1
1311,1
1312,1
1313,0
1314,0
1315,1
1316,0
1317,1
1318,1
1319,1
1320,1
1321,1
1322,1
1323,0
1324,0
1325,0
1326,0
1327,1
1328,1
1329,0
1330,1
1331,1
1332,0
1333,1
1334,0
1335,1
