ID,Bound
0,0
1,1
2,1
3,1
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,1
12,0
13,1
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,1
23,1
24,0
25,1
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,0
34,0
35,0
36,1
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,1
46,1
47,0
48,0
49,0
50,0
51,1
52,0
53,1
54,0
55,1
56,0
57,1
58,1
59,0
60,1
61,1
62,0
63,1
64,1
65,1
66,1
67,0
68,0
69,1
70,0
71,1
72,1
73,1
74,0
75,0
76,0
77,1
78,1
79,1
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,1
88,0
89,0
90,0
91,1
92,0
93,0
94,0
95,1
96,1
97,0
98,1
99,0
100,1
101,1
102,0
103,1
104,0
105,0
106,1
107,0
108,0
109,0
110,0
111,1
112,0
113,0
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,0
122,0
123,0
124,0
125,1
126,1
127,1
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,1
137,1
138,0
139,0
140,1
141,0
142,0
143,1
144,1
145,1
146,0
147,0
148,0
149,1
150,1
151,0
152,0
153,0
154,1
155,0
156,0
157,0
158,1
159,1
160,0
161,1
162,0
163,1
164,1
165,0
166,1
167,0
168,1
169,1
170,1
171,0
172,0
173,1
174,0
175,1
176,0
177,0
178,1
179,1
180,0
181,0
182,1
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,1
196,1
197,1
198,0
199,0
200,1
201,0
202,0
203,1
204,0
205,1
206,1
207,1
208,0
209,1
210,1
211,1
212,0
213,0
214,1
215,1
216,0
217,1
218,1
219,0
220,1
221,1
222,1
223,0
224,0
225,1
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,1
234,0
235,1
236,0
237,0
238,1
239,0
240,1
241,1
242,1
243,1
244,1
245,0
246,0
247,0
248,0
249,1
250,1
251,0
252,1
253,0
254,1
255,0
256,1
257,1
258,1
259,0
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,1
271,0
272,0
273,0
274,1
275,1
276,1
277,1
278,0
279,1
280,1
281,1
282,1
283,1
284,0
285,1
286,0
287,1
288,1
289,0
290,1
291,0
292,0
293,0
294,0
295,1
296,0
297,0
298,0
299,0
300,0
301,0
302,1
303,0
304,1
305,1
306,0
307,1
308,0
309,0
310,1
311,0
312,1
313,0
314,0
315,0
316,1
317,1
318,1
319,1
320,1
321,1
322,0
323,0
324,1
325,1
326,0
327,0
328,0
329,0
330,0
331,0
332,1
333,1
334,1
335,0
336,1
337,0
338,0
339,1
340,1
341,0
342,1
343,1
344,1
345,1
346,0
347,0
348,0
349,1
350,1
351,0
352,1
353,0
354,0
355,0
356,1
357,0
358,1
359,1
360,0
361,1
362,1
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,1
371,1
372,1
373,1
374,1
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,0
383,0
384,0
385,0
386,1
387,0
388,1
389,1
390,1
391,0
392,0
393,1
394,1
395,0
396,0
397,1
398,1
399,0
400,1
401,1
402,0
403,1
404,0
405,0
406,0
407,1
408,1
409,0
410,1
411,1
412,0
413,1
414,0
415,0
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,1
424,1
425,1
426,1
427,0
428,1
429,1
430,0
431,0
432,1
433,1
434,0
435,0
436,1
437,0
438,0
439,0
440,1
441,1
442,1
443,1
444,1
445,0
446,1
447,0
448,1
449,1
450,1
451,0
452,0
453,0
454,1
455,1
456,0
457,1
458,0
459,1
460,0
461,1
462,1
463,0
464,1
465,1
466,1
467,0
468,0
469,0
470,1
471,1
472,0
473,1
474,0
475,1
476,0
477,0
478,0
479,1
480,1
481,1
482,1
483,0
484,1
485,0
486,0
487,0
488,1
489,1
490,0
491,1
492,1
493,1
494,1
495,1
496,1
497,0
498,1
499,1
500,1
501,1
502,0
503,0
504,1
505,0
506,0
507,1
508,1
509,1
510,0
511,1
512,1
513,0
514,1
515,1
516,0
517,1
518,1
519,1
520,1
521,0
522,0
523,0
524,0
525,1
526,1
527,1
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,1
536,0
537,0
538,0
539,1
540,1
541,1
542,1
543,1
544,0
545,1
546,0
547,0
548,1
549,0
550,0
551,0
552,1
553,1
554,0
555,0
556,0
557,0
558,1
559,1
560,0
561,1
562,1
563,0
564,0
565,0
566,1
567,1
568,0
569,0
570,1
571,1
572,1
573,0
574,0
575,0
576,0
577,0
578,0
579,1
580,1
581,1
582,1
583,1
584,0
585,0
586,0
587,0
588,1
589,0
590,0
591,0
592,1
593,0
594,1
595,0
596,0
597,0
598,1
599,0
600,1
601,0
602,0
603,1
604,1
605,1
606,1
607,0
608,0
609,1
610,0
611,1
612,1
613,0
614,1
615,0
616,0
617,1
618,0
619,1
620,0
621,0
622,0
623,0
624,1
625,1
626,1
627,1
628,1
629,0
630,0
631,1
632,0
633,0
634,1
635,1
636,0
637,0
638,1
639,1
640,0
641,1
642,0
643,0
644,1
645,0
646,1
647,1
648,0
649,1
650,0
651,1
652,1
653,1
654,1
655,1
656,0
657,1
658,1
659,1
660,0
661,0
662,0
663,0
664,0
665,1
666,1
667,1
668,0
669,1
670,0
671,0
672,1
673,1
674,1
675,0
676,0
677,0
678,1
679,0
680,0
681,1
682,1
683,0
684,1
685,0
686,1
687,0
688,0
689,1
690,0
691,1
692,1
693,1
694,0
695,1
696,0
697,0
698,0
699,0
700,1
701,1
702,0
703,1
704,1
705,0
706,1
707,0
708,1
709,0
710,1
711,0
712,1
713,1
714,0
715,0
716,0
717,1
718,1
719,0
720,0
721,0
722,0
723,0
724,1
725,1
726,1
727,1
728,1
729,1
730,0
731,1
732,0
733,1
734,0
735,1
736,0
737,1
738,1
739,1
740,1
741,0
742,0
743,0
744,1
745,1
746,0
747,1
748,1
749,0
750,0
751,0
752,0
753,1
754,1
755,1
756,1
757,0
758,1
759,0
760,0
761,0
762,1
763,1
764,0
765,0
766,1
767,1
768,0
769,0
770,1
771,1
772,0
773,0
774,1
775,1
776,0
777,0
778,1
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,1
787,0
788,1
789,1
790,0
791,1
792,1
793,0
794,1
795,0
796,0
797,0
798,1
799,1
800,0
801,0
802,0
803,0
804,0
805,1
806,0
807,0
808,1
809,0
810,0
811,1
812,0
813,1
814,0
815,0
816,1
817,1
818,0
819,0
820,0
821,1
822,0
823,1
824,1
825,1
826,0
827,0
828,0
829,1
830,1
831,1
832,0
833,0
834,0
835,0
836,0
837,0
838,1
839,1
840,0
841,0
842,0
843,1
844,0
845,0
846,0
847,0
848,0
849,1
850,1
851,1
852,0
853,1
854,1
855,1
856,0
857,0
858,0
859,0
860,1
861,1
862,0
863,0
864,1
865,0
866,0
867,1
868,1
869,1
870,0
871,0
872,0
873,0
874,0
875,1
876,0
877,0
878,0
879,1
880,0
881,0
882,1
883,1
884,1
885,0
886,1
887,0
888,0
889,1
890,1
891,0
892,1
893,1
894,1
895,1
896,0
897,0
898,1
899,0
900,1
901,0
902,1
903,1
904,1
905,1
906,0
907,0
908,1
909,0
910,0
911,1
912,1
913,0
914,0
915,0
916,0
917,1
918,1
919,0
920,0
921,0
922,1
923,1
924,0
925,0
926,0
927,0
928,0
929,0
930,1
931,1
932,0
933,0
934,0
935,0
936,1
937,1
938,1
939,1
940,1
941,0
942,0
943,0
944,1
945,1
946,0
947,1
948,1
949,0
950,0
951,1
952,1
953,1
954,1
955,1
956,0
957,1
958,0
959,0
960,1
961,0
962,1
963,1
964,1
965,0
966,0
967,1
968,0
969,0
970,1
971,1
972,0
973,1
974,1
975,1
976,0
977,0
978,0
979,1
980,0
981,0
982,1
983,1
984,0
985,0
986,1
987,1
988,1
989,0
990,1
991,0
992,0
993,0
994,1
995,0
996,0
997,0
998,1
999,0
1000,1
1001,0
1002,1
1003,1
1004,0
1005,0
1006,1
1007,0
1008,1
1009,0
1010,0
1011,1
1012,0
1013,1
1014,0
1015,1
1016,1
1017,0
1018,0
1019,1
1020,0
1021,1
1022,0
1023,0
1024,1
1025,0
1026,1
1027,1
1028,0
1029,0
1030,0
1031,0
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,0
1039,0
1040,1
1041,1
1042,0
1043,1
1044,0
1045,0
1046,1
1047,1
1048,1
1049,0
1050,1
1051,1
1052,1
1053,0
1054,0
1055,0
1056,1
1057,1
1058,1
1059,0
1060,0
